
 | 
Codigo |  Saldo
10000000 |  15,573,486.42
10000000 |  15,573,486.42
11000000 |  964,591.78
11000000 |  964,591.78
11100000 |  248,774.79
11100000 |  248,774.79
11101000 |  248,774.79
11101100 |  247,642.81
11101101 |  247,642.81
11101200 |  1,131.98
11101201 |  1,131.98
11101201 |  1,131.98
11200000 |  123,002.20
11200000 |  123,002.20
11205000 |  123,002.20
11205100 |  121,150.00
11205101 |  121,150.00
11205200 |  1,852.20
11205201 |  1,852.20
11205201 |  1,852.20
11300000 |  592,814.79
11300000 |  592,814.79
11301000 |  592,814.79
11301100 |  592,657.01
11301101 |  350,006.05
11301102 |  2,625.96
11301105 |  235,000.00
11301106 |  5,025.00
11301200 |  157.78
11301201 |  157.78
11301201 |  157.78
12000000 |  539,558.67
12000000 |  539,558.67
12200000 |  436,159.65
12200000 |  436,159.65
12201000 |  436,159.65
12201100 |  436,159.65
12201106 |  436,159.65
12201106 |  436,159.65
12700000 |  103,399.02
12700000 |  103,399.02
12711000 |  103,399.02
12711100 |  100,950.00
12711101 |  100,950.00
12711200 |  2,449.02
12711201 |  2,449.02
12711201 |  2,449.02
13000000 |  13,689,826.87
13000000 |  13,689,826.87
13100000 |  13,394,912.98
13100000 |  13,394,912.98
13100000 |  13,394,912.98
 | 
Codigo |  Saldo
Codigo |  Saldo
13105000 |  9,729,913.47
13105100 |  9,729,913.47
13105101 |  190,259.17
13105102 |  1,281,996.82
13105103 |  3,600,572.64
13105109 |  4,657,084.84
13105109 |  4,657,084.84
13110000 |  3,195,545.30
13110100 |  3,195,545.30
13110101 |  3,195,545.30
13110101 |  3,195,545.30
13150000 |  469,454.21
13150100 |  469,454.21
13150101 |  469,454.21
13150101 |  469,454.21
13300000 |  75,224.93
13300000 |  75,224.93
13305000 |  75,224.93
13305100 |  75,224.93
13305102 |  .00
13305103 |  75,224.93
13305109 |  .00
13305109 |  .00
13310000 |  .00
13310100 |  .00
13310101 |  .00
13310101 |  .00
13500000 |  63,837.27
13500000 |  63,837.27
13505000 |  54,175.05
13505100 |  54,175.05
13505109 |  54,175.05
13505109 |  54,175.05
13510000 |  6,300.00
13510100 |  6,300.00
13510101 |  6,300.00
13510101 |  6,300.00
13550000 |  3,362.22
13550100 |  3,362.22
13550101 |  3,362.22
13550101 |  3,362.22
13600000 |  .00
13600000 |  .00
13605000 |  .00
13605100 |  .00
13605109 |  .00
13605109 |  .00
13800000 |  603,281.63
13800000 |  603,281.63
13801000 |  118,616.73
13801100 |  118,616.73
13801100 |  118,616.73
13801100 |  118,616.73
 | 
Codigo |  Saldo
13801101 |  2,514.72
13801102 |  16,794.06
13801103 |  41,401.30
13801104 |  26,163.06
13801109 |  31,743.59
13801109 |  31,743.59
13803000 |  11.19
13803100 |  11.19
13803102 |  .00
13803103 |  11.19
13803104 |  .00
13803109 |  .00
13803109 |  .00
13805000 |  495.38
13805100 |  495.38
13805104 |  66.50
13805109 |  428.88
13805109 |  428.88
13806000 |  .00
13806100 |  .00
13806109 |  .00
13806109 |  .00
13850000 |  482,247.63
13850100 |  482,247.63
13850101 |  482,247.63
13850101 |  482,247.63
13851000 |  1,910.70
13851100 |  1,910.70
13851101 |  1,910.70
13851101 |  1,910.70
13900000 |  (447,429.94)
13900000 |  (447,429.94)
13901000 |  (59,676.44)
13901100 |  (59,676.44)
13901101 |  .00
13901102 |  (36,748.55)
13901103 |  (8,456.92)
13901104 |  (4,788.24)
13901109 |  (9,682.73)
13901109 |  (9,682.73)
13903000 |  (74,957.20)
13903100 |  (74,957.20)
13903102 |  .00
13903103 |  (74,957.20)
13903104 |  .00
13903109 |  .00
13903109 |  .00
13904000 |  .00
13904100 |  .00
13904102 |  .00
13904102 |  .00
13905000 |  (143.32)
13905100 |  (143.32)
13905104 |  (7.88)
13905109 |  (135.44)
13905109 |  (135.44)
13905109 |  (135.44)
 | 
Codigo |  Saldo
Codigo |  Saldo
13906000 |  .00
13906100 |  .00
13906109 |  .00
13906109 |  .00
13909000 |  (255,949.26)
13909100 |  (255,949.26)
13909101 |  (255,949.26)
13909101 |  (255,949.26)
13950000 |  (56,557.77)
13950100 |  (56,557.77)
13950101 |  (56,557.77)
13950101 |  (56,557.77)
13951000 |  (145.95)
13951100 |  (145.95)
13951101 |  (145.95)
13951101 |  (145.95)
14000000 |  270,760.78
14000000 |  270,760.78
14200000 |  105,331.29
14200000 |  105,331.29
14201000 |  84,525.00
14201100 |  84,525.00
14201101 |  84,525.00
14201101 |  84,525.00
14203000 |  524.42
14203100 |  524.42
14203101 |  524.42
14203101 |  524.42
14208000 |  20,281.87
14208100 |  13,291.48
14208105 |  13,291.48
14208200 |  6,990.39
14208201 |  397.26
14208202 |  319.44
14208203 |  5,123.33
14208204 |  1,150.36
14208205 |  .00
14208205 |  .00
14300000 |  165,429.49
14300000 |  165,429.49
14301000 |  7,929.49
14301100 |  7,929.49
14301104 |  70.59
14301112 |  4,749.80
14301113 |  916.00
14301114 |  .00
14301116 |  172.00
14301118 |  1.10
14301119 |  988.00
14301120 |  974.00
14301121 |  48.00
14301122 |  10.00
14301122 |  10.00
14301122 |  10.00
14301122 |  10.00
 | 
Codigo |  Saldo
14308000 |  120,000.00
14308100 |  120,000.00
14308102 |  80,000.00
14308103 |  30,000.00
14308105 |  10,000.00
14308105 |  10,000.00
14399000 |  37,500.00
14399100 |  37,500.00
14399110 |  .00
14399112 |  .00
14399115 |  .00
14399116 |  .00
14399117 |  .00
14399118 |  .00
14399119 |  37,500.00
14399119 |  37,500.00
17000000 |  102,088.96
17000000 |  102,088.96
17300000 |  29,776.19
17300000 |  29,776.19
17301000 |  178,179.89
17301100 |  178,179.89
17301101 |  178,179.89
17301101 |  178,179.89
17302000 |  (148,403.70)
17302100 |  (148,403.70)
17302101 |  (148,403.70)
17302101 |  (148,403.70)
17400000 |  11,087.14
17400000 |  11,087.14
17401000 |  65,219.08
17401100 |  65,219.08
17401101 |  65,219.08
17401101 |  65,219.08
17402000 |  (54,131.94)
17402100 |  (54,131.94)
17402101 |  (54,131.94)
17402101 |  (54,131.94)
17500000 |  22,044.11
17500000 |  22,044.11
17501000 |  109,557.04
17501100 |  109,557.04
17501101 |  109,557.04
17501101 |  109,557.04
17502000 |  (87,512.93)
17502100 |  (87,512.93)
17502101 |  (87,512.93)
17502101 |  (87,512.93)
17600000 |  39,181.52
17600000 |  39,181.52
17601000 |  90,281.40
17601100 |  90,281.40
17601100 |  90,281.40
17601100 |  90,281.40
 | 
Codigo |  Saldo
17601101 |  90,281.40
17601101 |  90,281.40
17602000 |  (51,099.88)
17602100 |  (51,099.88)
17602101 |  (51,099.88)
17602101 |  (51,099.88)
18000000 |  6,659.36
18000000 |  6,659.36
18100000 |  2,381.50
18100000 |  2,381.50
18103000 |  2,381.50
18103100 |  2,381.50
18103101 |  1,689.63
18103102 |  617.52
18103106 |  74.35
18103106 |  74.35
18200000 |  2,102.86
18200000 |  2,102.86
18202000 |  2,102.86
18202100 |  2,102.86
18202101 |  7,210.00
18202102 |  (5,107.14)
18202102 |  (5,107.14)
18300000 |  .00
18300000 |  .00
18305000 |  .00
18305100 |  .00
18305101 |  .00
18305101 |  .00
18307000 |  .00
18307100 |  .00
18307101 |  .00
18307102 |  .00
18307104 |  .00
18307109 |  .00
18307112 |  .00
18307144 |  .00
18307147 |  .00
18307147 |  .00
18400000 |  2,175.00
18400000 |  2,175.00
18401000 |  2,175.00
18401100 |  2,175.00
18401101 |  20,880.00
18401102 |  (18,705.00)
18401102 |  (18,705.00)
18401102 |  (18,705.00)
18401102 |  (18,705.00)
18401102 |  (18,705.00)
18401102 |  (18,705.00)
18401102 |  (18,705.00)
18401102 |  (18,705.00)
18401102 |  (18,705.00)
18401102 |  (18,705.00)
 | 
Codigo |  Saldo
20000000 |  (5,033,403.78)
20000000 |  (5,033,403.78)
21000000 |  (3,070,259.31)
21000000 |  (3,070,259.31)
21100000 |  (696.10)
21100000 |  (696.10)
21107000 |  (696.10)
21107100 |  (696.10)
21107107 |  .00
21107109 |  (696.10)
21107111 |  .00
21107111 |  .00
21200000 |  (1,181,237.79)
21200000 |  (1,181,237.79)
21201000 |  (935,040.52)
21201100 |  (934,813.59)
21201130 |  (934,813.59)
21201200 |  (226.93)
21201230 |  (226.93)
21201230 |  (226.93)
21202000 |  (246,197.27)
21202100 |  (232,848.75)
21202130 |  (232,848.75)
21202200 |  (13,348.52)
21202230 |  (13,348.52)
21202230 |  (13,348.52)
21300000 |  (1,852,074.82)
21300000 |  (1,852,074.82)
21301000 |  (351,190.79)
21301100 |  (351,190.79)
21301130 |  (351,190.79)
21301130 |  (351,190.79)
21303000 |  (400,000.00)
21303100 |  (400,000.00)
21303130 |  (400,000.00)
21303130 |  (400,000.00)
21305000 |  (78,868.73)
21305100 |  (78,868.73)
21305130 |  (78,868.73)
21305130 |  (78,868.73)
21306000 |  (672,015.30)
21306100 |  (672,015.30)
21306130 |  (672,015.30)
21306130 |  (672,015.30)
21307000 |  (350,000.00)
21307100 |  (350,000.00)
21307130 |  (350,000.00)
21307130 |  (350,000.00)
21800000 |  (36,250.60)
21800000 |  (36,250.60)
21803000 |  (36,250.60)
21803100 |  (36,250.60)
21803100 |  (36,250.60)
21803100 |  (36,250.60)
 | 
Codigo |  Saldo
21803101 |  (36,250.60)
21803101 |  (36,250.60)
24000000 |  (1,963,144.47)
24000000 |  (1,963,144.47)
24100000 |  (486,889.83)
24100000 |  (486,889.83)
24110000 |  (486,889.83)
24110100 |  (486,889.83)
24110104 |  (364,257.16)
24110105 |  (24,019.18)
24110106 |  (36,463.49)
24110108 |  (26,450.00)
24110109 |  (30,500.00)
24110110 |  (2,800.00)
24110111 |  (2,400.00)
24110112 |  .00
24110112 |  .00
24200000 |  (343,935.83)
24200000 |  (343,935.83)
24203000 |  (560.20)
24203100 |  (560.20)
24203101 |  (39.07)
24203102 |  .00
24203105 |  (127.92)
24203106 |  (300.00)
24203108 |  (93.21)
24203110 |  .00
24203112 |  .00
24203112 |  .00
24204000 |  (311,447.75)
24204100 |  (311,447.75)
24204101 |  .00
24204102 |  (876.75)
24204103 |  (876.00)
24204104 |  (309,695.00)
24204106 |  .00
24204107 |  .00
24204107 |  .00
24205000 |  (5,562.27)
24205100 |  (5,562.27)
24205101 |  (4,855.06)
24205102 |  (488.40)
24205103 |  (198.81)
24205104 |  (20.00)
24205104 |  (20.00)
24206000 |  (7,312.80)
24206100 |  (7,312.80)
24206101 |  (4,376.30)
24206102 |  (795.26)
24206103 |  (679.95)
24206104 |  (68.40)
24206105 |  (80.00)
24206107 |  (1,192.89)
24206108 |  (120.00)
24206108 |  (120.00)
24206108 |  (120.00)
 | 
Codigo |  Saldo
Codigo |  Saldo
24209000 |  (245.60)
24209100 |  (245.60)
24209101 |  (31.60)
24209102 |  (214.00)
24209102 |  (214.00)
24211000 |  (18,544.61)
24211100 |  (18,544.61)
24211101 |  (18,544.61)
24211101 |  (18,544.61)
24212000 |  (262.60)
24212100 |  (262.60)
24212101 |  (262.60)
24212101 |  (262.60)
24299000 |  .00
24299100 |  .00
24299101 |  .00
24299101 |  .00
24300000 |  (1,132,308.42)
24300000 |  (1,132,308.42)
24301000 |  (15,275.48)
24301100 |  (15,275.48)
24301101 |  (15,275.48)
24301101 |  (15,275.48)
24302000 |  (14,558.91)
24302100 |  (14,558.91)
24302101 |  (14,558.91)
24302101 |  (14,558.91)
24304000 |  (152,044.66)
24304100 |  (152,044.66)
24304101 |  (152,044.66)
24304101 |  (152,044.66)
24307000 |  (130,821.00)
24307100 |  (130,821.00)
24307101 |  (130,821.00)
24307101 |  (130,821.00)
24309000 |  (811,228.37)
24309100 |  (811,228.37)
24309101 |  (449,944.03)
24309102 |  (361,284.34)
24309102 |  (361,284.34)
24399000 |  (8,380.00)
24399100 |  (8,380.00)
24399102 |  (6,380.00)
24399103 |  (2,000.00)
24399103 |  (2,000.00)
24400000 |  (10.39)
24400000 |  (10.39)
24402000 |  (10.39)
24402100 |  (10.39)
24402101 |  (10.39)
24402101 |  (10.39)
24405000 |  .00
24405100 |  .00
24405100 |  .00
24405100 |  .00
 | 
Codigo |  Saldo
24405102 |  .00
24405106 |  .00
24405110 |  .00
24405117 |  .00
24405119 |  .00
24405142 |  .00
24405153 |  .00
24405157 |  .00
24405167 |  .00
24405167 |  .00
24405167 |  .00
24405167 |  .00
24405167 |  .00
24405167 |  .00
24405167 |  .00
24405167 |  .00
24405167 |  .00
24405167 |  .00
24405167 |  .00
24405167 |  .00
24405167 |  .00
24405167 |  .00
24405167 |  .00
24405167 |  .00
24405167 |  .00
24405167 |  .00
24405167 |  .00
24405167 |  .00
24405167 |  .00
24405167 |  .00
24405167 |  .00
24405167 |  .00
24405167 |  .00
24405167 |  .00
24405167 |  .00
24405167 |  .00
24405167 |  .00
24405167 |  .00
24405167 |  .00
24405167 |  .00
24405167 |  .00
24405167 |  .00
24405167 |  .00
24405167 |  .00
24405167 |  .00
24405167 |  .00
24405167 |  .00
24405167 |  .00
24405167 |  .00
24405167 |  .00
24405167 |  .00
24405167 |  .00
24405167 |  .00
24405167 |  .00
24405167 |  .00
24405167 |  .00
24405167 |  .00
24405167 |  .00
 | 
Codigo |  Saldo
30000000 |  (10,043,418.57)
30000000 |  (10,043,418.57)
31000000 |  (7,598,500.00)
31000000 |  (7,598,500.00)
31100000 |  (7,598,500.00)
31100000 |  (7,598,500.00)
31102000 |  (7,598,500.00)
31102100 |  (7,598,500.00)
31102101 |  (7,598,500.00)
31102101 |  (7,598,500.00)
32000000 |  (99,726.80)
32000000 |  (99,726.80)
32200000 |  (99,726.80)
32200000 |  (99,726.80)
32201000 |  (99,726.80)
32201100 |  (99,726.80)
32201101 |  (99,726.80)
32201101 |  (99,726.80)
34000000 |  (2,345,191.77)
34000000 |  (2,345,191.77)
34100000 |  (881,664.31)
34100000 |  (881,664.31)
34101000 |  (881,664.31)
34101100 |  (881,664.31)
34101101 |  (881,664.31)
34101101 |  (881,664.31)
34200000 |  (1,463,527.46)
34200000 |  (1,463,527.46)
34201000 |  (1,463,527.46)
34201100 |  (1,463,527.46)
34201104 |  (1,463,527.46)
34201104 |  (1,463,527.46)
35000000 |  .00
35000000 |  .00
35100000 |  .00
35100000 |  .00
35101000 |  .00
35101100 |  .00
35101101 |  .00
35101101 |  .00
35200000 |  .00
35200000 |  .00
35201000 |  .00
35201100 |  .00
35201101 |  .00
35201101 |  .00
35201101 |  .00
35201101 |  .00
35201101 |  .00
35201101 |  .00
35201101 |  .00
35201101 |  .00
 | 
Codigo |  Saldo
40000000 |  1,539,015.55
40000000 |  1,539,015.55
41000000 |  39,302.06
41000000 |  39,302.06
41100000 |  39,302.06
41100000 |  39,302.06
41103000 |  6,412.36
41103100 |  6,412.36
41103101 |  6,097.29
41103104 |  212.77
41103105 |  102.30
41103105 |  102.30
41104000 |  32,889.70
41104100 |  32,889.70
41104101 |  30,111.92
41104104 |  2,777.78
41104104 |  2,777.78
43000000 |  861,305.61
43000000 |  861,305.61
43100000 |  861,305.61
43100000 |  861,305.61
43101000 |  861,305.61
43101100 |  861,305.61
43101101 |  4,054.72
43101102 |  158,316.66
43101103 |  254,248.36
43101104 |  154,601.25
